PB-CL-01	201	call_list_id=468e40fb-bd12-4da4-8614-e2b5e7109675 total_entries=4
PB-CL-02	200	items=3
PB-CL-03	200	name=PB Test Call List — Shakedown
PB-CL-04	200	name=PB Test Call List (renamed) max=3
PB-CL-05	200	status=active
PB-CL-06	200/422	active->completed=completed completed->active=422
PB-CL-07	422	Invalid status transition from active to INVALID_STATE
PB-CL-08	200	{"added":0,"skipped":4}
PB-CL-09	403	expect 403
PB-CL-10	403	expect 403
PB-CL-11	403	expect 403
PB-ENT-01	200	entries=4
PB-ENT-02	200	pending=0 err=
PB-ENT-03	200	empty entries=4
PB-CLAIM-01	200	claimed=2 first=d8803c64-078c-4871-b69f-7467732eae6f by=367278371970744389 err=
PB-CLAIM-02	200	ids="5a59b1cf-d8e0-43b5-9d65-8c8b3a7d8cba","f9ecbfb2-5ff1-4681-8dca-371d7b35b766"
PB-CLAIM-03	200/200	0=>0 10000=>0
PB-CLAIM-04	403	expect 403
PB-SESS-01	201	session=c12a6373-0866-4968-8ba5-02c5be6f161e status=draft
PB-SESS-02	200	items=2
PB-SESS-03	200	pre-assign=1
PB-SESS-04	200	name=PB Shakedown Session
PB-SESS-05	200	name=PB Shakedown Session (renamed)
PB-SESS-06	403	expect 403
PB-SESS-07	403	expect 403
PB-SESS-08	403	expect 403
PB-SESS-09	500	resp=(sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class 'asyncpg.exceptio
PB-CALLER-01	201	user_id=367278371970744389
PB-CALLER-02	200	callers=1
PB-CALLER-03	200	user_id=367278371970744389
PB-CALLER-04	403	expect 403
PB-CALLER-05	200	check_in_at=2026-04-05T20:49:06.013077
PB-CALLER-06	200	check_out_at=2026-04-05T20:49:06.203030
PB-CALLER-07	204	expect 204
PB-CALL-01	422	id=Entry d8803c64-078c-4871-b69f-7467732eae6f not claimed by 367278371970744389
PB-CALL-02	mixed	batch=4 outcomes= answered:201 no_answer:201 busy:201 wrong_number:201
PB-CALL-03	201	expect 422
PB-CALL-04	201	empty survey_responses; resp=2d95737a-dc11-4574-85a3-f2ed8914ed4d
PB-CALL-05	201	end<start; e4aab267-b1ee-4af0-b9a2-b4eda5c6281b
PB-CALL-06	403	expect 403
PB-PROG-01	200	{"session_id":"c12a6373-0866-4968-8ba5-02c5be6f161e","total_entries":4,"completed":3,"in_progress":0,"available":1,"callers":[{"user_id":"367278371970744389","c
PB-PROG-02	200	entry=f9ecbfb2-5ff1-4681-8dca-371d7b35b766 resp=f9ecbfb2-5ff1-4681-8dca-371d7b35b766
PB-PROG-03	200	entry=f9ecbfb2-5ff1-4681-8dca-371d7b35b766 resp=f9ecbfb2-5ff1-4681-8dca-371d7b35b766
PB-PROG-04	422	entry=f9ecbfb2-5ff1-4681-8dca-371d7b35b766 resp=Request validation failed
PB-PROG-05	403	expect 403
PB-DNC-01	201	dnc_id=55932b3b-9d08-4b08-9a19-cff6160e33f2
PB-DNC-02	200	entries=2
PB-DNC-03	200	{"is_dnc":true,"entry":{"id":"55932b3b-9d08-4b08-9a19-cff6160e33f2","phone_number":"4785559999","reason":"PB shakedown test","added_by":"367278369538048069","ad
PB-DNC-04	403	expect 403
PB-DNC-05	403	expect 403
PB-DNC-06	403	expect 403
PB-DNC-07	200	phone=4785553004 flag={"is_dnc":true,"entry":{"id":"6ae866a5-7dc7-422f-a7d9-a2c4848fd335","phone_number":"4785553004","reason":"PB-DNC-07","added_by":"367278369538048069","added_at":
PB-DNC-08	201	resp=36796128-1780-488f-88ea-401d4db517e2
PB-DEL-01	204/404	delete then get
PB-DEL-02	204/404	delete then get
PB-EDGE-01	200	claimed=4
PB-EDGE-02	200	{"session_id":"1c75fe2a-80ec-4777-a83e-90a5b524ad3d","total_entries":4,"completed":0,"in_progress":0,"available":4,"callers":[]}
PB-EDGE-03	200/200	A= B=
PB-EDGE-04	SKIP	observational only
PB-EDGE-05	race	returned=0 unique=0
